詞彙,釋義,例句
CP值,英文「Cost Performance Ratio」，成本效益比。也作「西批值」、「CP」。,這款手機的CP值很高，性能強大但價格合理，值得入手。
DC,通信應用程式 Discord 的縮寫,我昨天在 DC上加他好友了
DD,"來自日語「誰でも大好き」，意指""不管是誰都最喜歡了""，用以形容作為""同時超過推兩個以上的偶像的人""。",你這個DD，今天又在看誰的台了
der,「的」的諧音。裝可愛的捲舌版本。通常用在句末。,就是我der
duck不必,同「大可不必」，完全沒有必要的意思,這種粗暴的言論，duck不必
e04,「幹」的意思。使用英文鍵盤，並以注音輸入法輸入「幹」字時，會對應鍵盤上「e04」三個鍵。,e04，怎麼電腦又壞了
emo,形容情緒低落、心情不好。,每次喝酒都不揪我，我emo了
EZ,英文「easy」的諧音，意思為「簡單」、「容易」。時常使用在遊戲聊天室當中。 例句：這場比賽太EZ了。,這關卡設計得太簡單，我一試就通過了，真是EZ！
F2P,"英文縮寫""Free 2(to) Play"" 指沒有投入任何金錢的遊戲玩家",作為一名F2P玩家，他經常花時間研究遊戲策略來獲得最好的裝備。
Fu,英文「feel」的諧音。指感覺。,這部電影真的讓我有很深的Fu，特別是最後的那場戲。
G8,同雞掰,這遊戲眞G8難
galgame,是一種可以與動畫美少女進行互動的日本電子遊戲。雖然幾乎所有美少女遊戲都涉及浪漫主義、愛情或者某種形式的性暗示，但是它們未必是色情成人遊戲。,小明沉迷於一款新出的galgame，每天都在研究如何攻略遊戲裡的不同角色。
gank,突襲。源自於線上遊戲中突襲群團中的名稱。,當我們的隊友呼喊著「小心，對方準備要gank我們的中路了！」，所有人都提高了警覺，準備反擊。
GG,意指遭遇不測。源自於線上遊戲對戰後對對手表達精彩戰鬥而說出「good game」，可能帶有嘲諷意味。,這個專案的 deadline 這麼趕，我看要GG了。
gnp4,「關你屁事」的羅馬拼音首字母及諧音。,室友：你為什麼每天晚睡？ 我：哎呦，gnp4，我的作息我決定！
hen,同副詞「很」，為「很」的漢語拼音（但為了鍵盤輸入方便，不加聲調符號）。,這家餐廳的菜hen好吃，我們下次還要來。
HP,英文「Health Points」的簡稱。意思遊戲當中的生命值，後來廣泛代表一個人自我評估的生命力。 例句：這教授的HP也太高，怎麼寫論文也寫不完。,經過一整週的熬夜準備考試，我感覺自己的HP已經快見底了，需要好好休息補充能量。
I 人 E 人,表達社交傾向：I 人偏好獨處或與少數親密的人相處，不擅於表達；而 E 人則樂於社交、享受與他人互動,我是 I 人但偶爾會 E 人一下，像今天參加同學聚會，聊了一會兒後還是想趕快回家充電。
IP,指的是智慧財產權（Intellectual Property），包括商標、版權、專利等用以保護創作品的法律權利，也可以指用於辨識網絡位置的互聯網協定地址（Internet Protocol aDDress）。,1. 這部漫畫號稱是「最難翻拍成真人版戲劇」的IP之一2. 你要不要查我IP在哪XD
Kuso,源自日語，指帶有惡搞、幽默和創意成分的內容或行為，通常以搞笑或諷刺的方式呈現，有時帶有挑釁意味。,說是Kuso更是挑釁，但創意十足超有梗
LKK,老摳摳,這個梗很LKK
LUL,源自於Twitch的表情符號，表示大笑或無奈的笑，通常用於反映某種幽默、尷尬或出乎意料的狀況。,阿怎麼突然轉了一下風車 LUL
lv,指等級（level）的縮寫，常用於遊戲中表示玩家的級別或階段。,你很厲害喔，一個月就 lV2，進入韭菜sop
MC,英文「Menstrual Cycle」的簡稱。指女性生理期。,醫生解釋說，保持良好的營養和適度的運動可以有助於維持穩定的MC。
MIT,英文「Made in Taiwan」的簡稱。臺灣製造。,在全球的科技展覽中，很多高品質的電子產品上都印有「MIT」，代表著它們是臺灣製造。
NG,指代「No Good」或「Not Good」，常用於形容某種行為或情況不合適、不理想。例如，拍頭太親密了很NG，表示這種行為過於親密而不適合。,拍頭太親密了很NG
NTR,日文「寝取られ」的縮寫為，被劈腿的意思，但條件較嚴苛，主事者對象與第三人必須發生性關係能才算作NTR。,當他發現女友與第三者有了親密關係後，他才意識到自己成為了NTR的受害者。
OL,源自日本。指辦公室女職員、女性白領。,每次午休時間，OL們總愛聚在一起聊聊時尚和最新的電視劇。
OMG,"「omg」這是在網絡上面很常用的英文縮寫，是英文中的""Oh My God""或""Oh My Gosh""的縮寫，意思就是「我的天哪」。",OMG，你看那幅畫真是太驚艷了！
OP,1.英文「overpowered」的簡稱。過度強大，源自遊戲中玩家對於某角色或是能力形容。 2.英文「original poster」的簡稱。原始貼文者，常見於論壇。,"1. 這個遊戲的新角色實在是太OP了，幾乎沒有其他玩家能打敗他。
2. 在這個討論串中，OP提到了一個很有趣的觀點，引發了大家的熱烈討論。"
osso,「喔是喔」的意思，其發音利用羅馬拼音的縮寫就是osso,當我告訴他這個消息時，他只是點點頭說：「osso」。
P,指的是使用圖像編輯軟體處理或合成的結果，即「photoshopped」或「PS」的簡寫。「P上去」意味著圖像經過加工或不自然。,而且那張圖開起來有夠像p上去的
peko,用於句尾的語助詞，增加語氣的可愛感，多見於日語圈，如在句末類似「喔」的語助詞。例句反映說話者覺得某物品「油膩」，並以「peko」增添話語的趣味性和輕鬆感。,好油喔peko
PK,英文「Player Killer」的簡稱。挑戰、對決的意思。,在遊戲中，他們決定在最後一局來一次PK，看看誰才是真正的高手。
PM,指「專案經理」（Project Manager），負責規劃、執行和監控專案的整體進度與成果。,四技二專觀光科都可以擔任PM了~
PO,英文 「post 」的簡稱。指將文字、圖片或影片發佈到網路上。,我剛在社交媒體上PO了一張今天早上拍的日出照，你快去看看吧！
po文,即上傳文章。,小美每天都會在她的部落格上po文，分享她的旅行心得。
POV,"為point of view的縮寫，中文翻譯為""視角""或""觀點""，用途廣泛，可用於拍影片或照片、文學作品、哲學思想...等地方。",這部影片是從主角的POV拍攝的，讓觀眾能夠更深入地體驗他的情感世界。
PUA,最初指「搭訕藝術家」，是一種學習搭訕技巧和戀愛心理學的群體或文化，起源於國外社交圈。PUA強調通過特定話術、肢體語言和心理操控來吸引異性。後引用以形容指利用話術或心理操控，讓對方產生自卑感或情感依賴，進而達到控制對方的目的。,他用PUA手段讓對方失去自信，完全被他掌控。
Q版,指將角色或物品以卡通化、可愛化的風格呈現，通常具有誇張的頭部比例及簡化的身體結構。,Q版春聯貼紙標示
Q彈,形容食物具有彈性且柔軟有嚼勁的口感。,Q彈的手工麵條
QQ,代表流淚、傷心、哭哭的意思。,看到電影院關門的消息，她在聊天中只發了個「QQ」表達她的惋惜和悲傷。
SAN值,源自桌遊「克蘇魯的呼喚」中「理智值」(Sanity)的概念，代表一個人的精神穩定程度或理智水平。在網絡語境中，常用來形容某人因恐懼、驚嚇或其他心理刺激而變得不安或失態的情況。,你的san值太低了
Seafood,「師父」的諧音。台灣宗教人物「妙禪師父」的修行場合，常常會看到學員們大喊「感恩師父、讚嘆師父」，因此網友聽久了便以 Seafood 來戲謔地作為師父的諧音。,每次修行課結束後，學員們總是異口同聲地說：「感恩Seafood，讚嘆Seafood！」
SJW,正義魔人 (Social Justice Warrior),小心編這種不政治正確的辭典會被SJW出征喔！
SS,英文「Superior Super Rare」的簡稱，超級稀有。源於遊戲，指非常稀少的卡片或寶物，後來也可以指很珍貴稀少的實際物品。也作「SS級」。,我剛剛在古董店裡找到了這款SS級的紀念版手錶，真沒想到能在二手市場上找到這麼稀有的寶貝！
sus,很可疑的意思,這人怎麼一直在教室門口徘徊，sus
tag,在社交媒體上使用標識功能將某人或某物與特定內容相關聯，通常通知該用戶或使其內容曝光。,在臉書轉載本文時，萬萬不要tag我的帳號
the鞭,指已成過去的糗事或失態被人重新翻出來公審,the鞭，三年前的貼文還被翻出來鞭，有夠慘
tks,網絡用語，是英文詞語「thanks」（謝謝）的縮寫，通常在非正式交流或社交媒體上用作表示感謝。,好像有八卦...tks
U,優質的意思。網友們想稱讚但是懶得打字的時候會打「優」。後來更偷懶大家就打「U」了。,這部電影真的U，特效和劇情都超讚！
U文,指在社交媒體或網路論壇中，具有獨特風格、見解或高水準的文章或推文，通常受到廣泛的讚譽與追捧。,U文大師發文，必須給推！
U質,「優質」的諧音。如：「U質梗圖」、「U質店家」。,這家咖啡店的環境和服務都非常好，真的是一家「U質店家」。
UCCU,意思是「你看看你」＝「You see see you」簡稱「UCCU」,考試前一天才開始讀書，還說自己一定會考高分，UCCU！
up,達到或超過某個數字、標準或目標。,原本考七百五的他 這次目標設在900up
Vtuber,虛擬YouTuber的簡稱，後泛指所有進行影片直播和活動的虛擬偶像。,自從成為Vtuber以來，她的直播吸引了全球各地的粉絲。
www,大笑的意思。（w 愈多笑得愈厲害）。日語的笑發音是「warau」其延伸出來的網路用語 「w」。,那隻貓的臉也太崩壞了吧wwwwwwwwww
XD,表示笑臉，將其順時針旋轉九十度後，X在上面，可以看做瞇起的眼睛，D在下面，是大笑的嘴.,那個笑話真的太搞笑了，我聽完笑到快從椅子上摔下來，XD！
YYDS（永遠滴神）,代表這個人/事物是最棒、最厲害的。,這間鹽酥雞攤真的YYDS！吃過就回不去了！
Z世代,英語：Generation Z，或縮寫為Gen Z，是盛行於美國及歐洲的用語，特指在1990年代中葉至2000年代出生的人.,Z世代普遍重視環境保護和社會責任，並偏好使用數位技術和社交媒體。
哩洗勒工三小,意思為你到底在講什麼鬼東西。,他突然在開會中講了一堆無關緊要的事情，讓大家忍不住心想：「哩洗勒工三小？」
